Sentence#,Word,Language
Sentence: 1,Oru,Mal
Sentence: 1,purusha,Mal
Sentence: 1,tennis,Eng
Sentence: 1,player,Eng
,,
Sentence: 2,manushyante,Mal
Sentence: 2,paadangalk,Mal
Sentence: 2,thazheyulla,Mal
Sentence: 2,skateboard,Eng
,,
Sentence: 3,wooden,Eng
Sentence: 3,tablente,Mix
Sentence: 3,aduthulla,Mal
Sentence: 3,chair,Eng
,,
Sentence: 4,chairil,Mix
Sentence: 4,chaari,Mal
Sentence: 4,irikkunna,Mal
Sentence: 4,manushyan,Mal
,,
Sentence: 5,pillows,Eng
Sentence: 5,oru,Mal
Sentence: 5,bedil,Mix
Sentence: 5,aanu,Mal
,,
Sentence: 6,poochakk,Mal
Sentence: 6,tan,Eng
Sentence: 6,niramulla,Mal
Sentence: 6,ear,Eng
Sentence: 6,und,Mal
,,
Sentence: 7,sofayil,Mix
Sentence: 7,kidakkunna,Mal
Sentence: 7,baby,Eng
,,
Sentence: 8,gate,Eng
Sentence: 8,sign,Eng
Sentence: 8,ith,Mal
Sentence: 8,oru,Mal
Sentence: 8,vimaanathaavalam,Mal
Sentence: 8,aanennu,Mal
Sentence: 8,kaanikkunn,Mal
,,
Sentence: 9,oru,Mal
Sentence: 9,sthreeyude,Mal
Sentence: 9,thalayil,Mal
Sentence: 9,hat,Eng
Sentence: 9,vechirikkunu,Mal
,,
Sentence: 10,oru,Mal
Sentence: 10,plateile,Mix
Sentence: 10,silver,Eng
Sentence: 10,fork,Eng
,,
Sentence: 11,bananayude,Mix
Sentence: 11,oduvilathe,Mal
Sentence: 11,thadicha,Mal
Sentence: 11,baagam,Mal
,,
Sentence: 12,elephant,Eng
Sentence: 12,oru,Mal
Sentence: 12,marathinte,Mal
Sentence: 12,backil,Mix
Sentence: 12,olichirikkunnu,Mal
,,
Sentence: 13,ith,Mal
Sentence: 13,oru,Mal
Sentence: 13,political,Eng
Sentence: 13,dinner,Eng
Sentence: 13,aanu,Mal
,,
Sentence: 14,oru,Mal
Sentence: 14,nadappathayile,Mal
Sentence: 14,fire,Eng
Sentence: 14,hydrant,Eng
,,
Sentence: 15,hospitalile,Mix
Sentence: 15,observation,Eng
Sentence: 15,bedile,Mix
Sentence: 15,10,Othr
Sentence: 15,number,Eng
,,
Sentence: 16,British,Othr
Sentence: 16,restaurantil,Mix
Sentence: 16,food,Eng
Sentence: 16,kazhikkunna,Mal
Sentence: 16,aalukal,Mal
,,
Sentence: 17,3,Othr
Sentence: 17,pakshikal,Mal
Sentence: 17,materialil,Mix
Sentence: 17,nilkunnu,Mal
,,
Sentence: 18,oru,Mal
Sentence: 18,pashuvinte,Mal
Sentence: 18,valiya,Mal
Sentence: 18,ear,Eng
,,
Sentence: 19,park,Eng
Sentence: 19,benchil,Mix
Sentence: 19,irikkunna,Mal
Sentence: 19,15,Othr
Sentence: 19,aalukalude,Mal
